"sku";"EAN";"name";"description";"category";"weight";"qty";"price";"tax";"brand";"images"
"105379";"5901810000011";"Apis-Enzym-Peeling mit Bioenzymen und Meeresalgen 100ml";"<div> <div> <b>  Enzympeeling  </div> <div> </b>    mit Bioenzymen und Meeresalgen   </div> <div>     </div>      <div>  für alle Hauttypen, besonders trocken, empfindlich, mit erweiterten Kapillaren.  </div> <div>   </div> <div>  Vorbereitung zur Reinigung Haut durch enzymatisches Peeling abgestorbener Zellen dank des enthaltenen Papains. zusätzlich angereichert mit Zitrone, Grapefruit, Meeresalgen, grünem Tee und Echinacea-Extrakten. bereitet die Haut auf die Anwendung weiterer Präparate vor.  </div> <div>   </div> <div>  Kapazität: 100 ml  </div>   </div>";"Professionelle kosmetik>Kosmetika Apis Professional >Peeling ";"0.1600";"36";"11.74";"23%";"APIS";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/105379_1_2.jpg"
"108616";"5901810006525";"apis hydro evolution extrem feuchtigkeitsspendende Algenmaske mit Birne und Rhabarber aquaxtrem ™ 250g";"<div> hydro evolution extrem feuchtigkeitsspendende Algenmaske mit Birne und Rhabarber aquaxtrem ™ </div> <div> <br> für dehydrierte und geschädigte Haut. </div> <div> <br> extrem feuchtigkeitsspendende Maske mit Extrakt aus Birnen und Rhabarber Wurzeln Stimuliert die natürlichen Feuchtigkeitsmechanismen der Haut und erzielt tiefe und lang anhaltende Wirkungen. Die Haut erhält wieder Feuchtigkeit und ein glattes, strahlendes, junges und vitales Aussehen. <br> </div> <div> Kapazität: 250 g </div>";"Professionelle kosmetik>Kosmetika Apis Professional >Gesichtspflege ";"0.2800";"5";"13.45";"23%";"APIS";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/108616_1_1.jpg"
"109094";"5906717405396";"Elektrische kosmetikliege azzurro 708a 4 motoren weiss";"<p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109094/DE_109094_01.jpg""></p>  <p>Die Marke <strong>Azzurro </strong>bietet hochwertige Kosmetikliegen und -sessel sowie Multifunktionsgeräte vom Typ Kombi an. Die professionellen Geräte werden unter anderem in Schönheitssalons, podologischen Praxen, Massagestudios oder in der Physiotherapie eingesetzt.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109094/DE_109094_02.jpg""></p>  <h2>Kosmetikliege, die Funktionalität mit Komfort verbindet</h2>  <p>Die elektrische <strong>Kosmetikliege Azzurro 708A</strong> ist mit 4 Aktuatoren ausgestattet, die über eine Kabelfernbedienung gesteuert werden und eine<strong> sanfte und präzise Einstellung</strong> der wichtigsten Elemente ermöglichen. Das intuitive Steuersystem und die zahlreichen Einstellmöglichkeiten ermöglichen eine <strong>schnelle Anpassung der Position an die Besonderheiten der Behandlung</strong> und die individuellen Bedürfnisse des Kunden. Die stabile Konstruktion und die hohe Funktionalität sorgen für Komfort bei der täglichen Arbeit, und <strong>das universelle Design</strong> des Modells macht es perfekt kompatibel mit den Innenräumen von Praxen für Kosmetik, Podologie und ästhetische Medizin.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109094/DE_109094_03.jpg""></p>  <h2>Freie Einstellung per Fernbedienung</h2>  <p>Die bequeme Steuerung mit einer Kabelfernbedienung ermöglicht die präzise Einstellung des Stuhls <strong>in vier Ebenen</strong>: Höhenverstellung, Rückenlehnenwinkel, Fußstütze und Wiege. <strong>Die Sitzhöhe kann in einem Bereich von 62-92 cm eingestellt werden</strong>, so dass die Position bequem an die Körpergröße des Patienten und des Behandlers angepasst werden kann. Im voll ausgefahrenen Zustand<strong> erreicht der Stuhl eine Länge von mehr als 2 Metern</strong> und bietet so eine komfortable Unterstützung für den gesamten Körper, auch bei Behandlungen, die eine Liegeposition erfordern. Der große Verstellbereich <strong>fördert die Ergonomie </strong>und den Komfort bei einer Vielzahl von Behandlungen. Die Fernbedienung kann an den Griffen an beiden Seiten des Sitzes aufgehängt werden, so dass sie leicht zu verstauen und schnell zugänglich ist.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109094/DE_109094_04.jpg""></p>  <h2>Ergonomie und Komfort auf höchstem Niveau</h2>  <p>Die Kosmetikliege <strong>ist ideal für Kosmetik-</strong> und <strong>Schönheitsbehandlungen</strong>, aber auch für Physiotherapie oder Tattoo-Studios. Die breite Sitzfläche sorgt für <strong>hohen Komfort auch bei langen Behandlungen</strong>. Die verstellbare Kopfstütze garantiert eine<strong> stabile Abstützung des Kopfes</strong> und ermöglicht eine bequeme Anpassung der Position, was besonders von größeren Kunden geschätzt wird. Die Möglichkeit, den Stuhl <strong>in eine Liegeposition</strong> zu klappen, erhöht seine Funktionalität und sein Einsatzspektrum erheblich. <strong>Eine Öffnung in der Kopfstütze, die unter einer ästhetisch ansprechenden Kappe verborgen ist</strong>, erhöht den Komfort bei Behandlungen in der Liegeposition, insbesondere bei Arbeiten am Rücken. Durchdachte Designlösungen <strong>unterstützen die Ergonomie</strong> und den Komfort im täglichen Gebrauch.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109094/DE_109094_05.jpg""></p>  <h2>Stil und Langlebigkeit</h2>  <p>Die robuste Konstruktion des Stuhls <strong>gewährleistet hohe Stabilität und Widerstandsfähigkeit</strong> bei intensiver Nutzung. Die Sitzfläche ist mit einem Schaumstoff von angemessener Härte gefüllt, der<strong> den Komfort</strong> auch bei längeren Behandlungen erhöht. Die Polsterung aus angenehm zu berührendem Kunstleder in Weißtönen verleiht dem gesamten Stuhl ein elegantes und professionelles Aussehen und <strong>ist gleichzeitig feuchtigkeitsbeständig</strong> und leicht zu reinigen. Das robuste Untergestell <strong>garantiert Stabilität</strong>, während die sorgfältig geformten Nähte den modernen Charakter des Möbels unterstreichen und<strong> die Ergonomie verbessern</strong>.</p>  <p>Die genauen Abmessungen sind auf dem letzten Foto angegeben. Die Produktmaße können geringfügig um ± 2 cm von der Abbildung abweichen.<br><strong>Das Set enthält:</strong> Sessel, Fernbedienung, Kopfstütze.</p>  <p><strong>Daten:</strong><br>Typ: elektrisch<br>Steuerung: Fernbedienung<br>Farbe: Weiß-Töne<br>Material der Polsterung: Kunstleder<br>Sitzfüllung: Schaumstoff<br>Leistung: 135 W<br>Spannung: 220-240 V<br>Garantie: 2 Jahre</p>";"Kosmetische Möbel>Kosmetikliegen";"93.0000";"10";"1495.93";"23%";"AZZURRO";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_01_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_02_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_03_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_04_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_05_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_06_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_07_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_08_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_09_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_10_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_11_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_12_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_13_3103.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109094_14_3103.jpg"
"109237";"5906717405648";"Friseurwaschbecke Gabbiano Ankara schwarz";"<p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109237/DE_109237_01.jpg""></p>  <p><strong>Gabbiano </strong>ist eine Luxusmarke für Friseurgeräte und -möbel, die sich durch Zuverlässigkeit, Qualität und Ästhetik der Verarbeitung sowie hohen Bedienkomfort auszeichnet. Es bietet eine große Auswahl an funktionalen Salons wie Stuhle, Friseurwaschbecke und Infrazonen.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109237/DE_109237_02.jpg""></p>  <h2>Komfortable Friseurwaschbecke für moderne Salon</h2>  <p>Die stilvolle <strong>Friseurwaschbecke Gabbiano Ankara</strong> mit geometrischem Stuhl unterstützt die effiziente Durchführung von Haarpflege- und Waschbehandlungen. Es wurde für die funktionale Ausstattung von Friseursalons entwickelt. <strong>Das integrierte Design</strong> sorgt für Komfort sowohl für den Friseur als auch für den Kunden, und die sorgfältige Verarbeitung <strong>mit effektvollen Seitennähten</strong> macht es zu einer Dekoration für jedes Interieur.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109237/DE_109237_03.jpg""></p>  <h2>Komfortable Bedienung</h2>  <p><strong>Eine tiefe Keramikschale</strong> in Weißtönen reduziert effektiv das Spritzen von Wasser und Präparaten, die während der Behandlungen verwendet werden. Dies ist förderlich für eine komfortable und präzise Durchführung verschiedener Friseurdienstleistungen. <strong>Durch das bewegliche Design der Schüssel</strong> können Sie den Neigungswinkel ganz einfach an Ihre individuellen Bedürfnisse anpassen. Das verwendete Material ist <strong>langlebig, resistent gegen Verfärbungen und Kratzer</strong> und leicht zu reinigen. <strong>Der richtig profilierte Kragen</strong> bietet eine bequeme Unterstützung des Kopfes während des Waschens, während die <strong>komfortable Kunststoffauflage</strong> in Schwarztönen das Gefühl der Kühle der Keramikoberfläche beseitigt.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109237/DE_109237_04.jpg""></p>  <h2>Durchdachte Annehmlichkeiten und Accessoires</h2>  <p>Die Waschanlage ist <strong>mit einem Mischer</strong> ausgestattet, der eine bequeme Verwendung von heißem und kaltem Wasser und eine einfache Einstellung der Temperatur an die Bedürfnisse des Kunden ermöglicht. Ein praktischer Platz zum Abstellen des Duschkopfes <strong>erleichtert die Organisation Ihrer Arbeit</strong> und sorgt für Ordnung am Arbeitsplatz. <strong>Ein Stöpsel mit Sieb </strong>ermöglicht es Ihnen, den Wasserfluss zu kontrollieren und gleichzeitig<strong> hohe Hygienestandards</strong> zu gewährleisten. Das Set enthält komplette Armaturen – eine Armatur, einen Duschkopf und spezielle Schläuche, die ein einbaufertiges Set bilden. Der Wasseranschluss wurde im Sockel der Waschanlage platziert, <strong>was ein ästhetisches Verstecken der Installation ermöglicht</strong>. Im Boden der Unterlegscheibe befinden sich <strong>Plätze zum Verschrauben</strong> – diese Lösung erhöht die Stabilität der gesamten Konstruktion.Die Kombination aus funktionalen Lösungen und durchdachten Details führt <strong>zum Komfort der täglichen Arbeit</strong> in einem Friseursalon.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109237/DE_109237_05.jpg""></p>  <h2>Ein funktionales Möbelstück mit eleganter Note</h2>  <p><strong>Der ergonomisch geformte Stuhl</strong>, der mit strapazierfähigem und verformungsbeständigem Schaumstoff gefüllt ist, bietet sowohl dem Kunden als auch der Person, die die Behandlung durchführt, <strong>einen hohen Bedienkomfort</strong>. Gepolsterte Armlehnen <strong>mit dekorativen Seitennähten</strong> ermöglichen eine natürliche Positionierung der Arme und Schultern und <strong>unterstützen so die korrekte Haltung</strong> beim Sitzen. Die Struktur des Stuhls wurde entwickelt, um Komfort bei verschiedenen Behandlungen zu gewährleisten, und die richtig geneigte Rückenlehne <strong>stützt die Wirbelsäule</strong> und erhöht den Komfort der Besuche. Die Polsterung aus hochwertigem Kunstleder in Schwarztönen zeichnet sich durch ihre elegante Optik, Langlebigkeit und einfache Reinigung aus. Das Ganze schafft <strong>ein modernes, ästhetisches Möbelstück</strong>, das sich perfekt in die Einrichtung eines professionellen Wohnzimmers einfügt und dem Interieur einen einzigartigen Charakter verleiht.</p>  <div class=""video-container""><iframe src=""https://www.youtube.com/embed/G-r_020FMsE"" width=""560"" height=""315"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""allowfullscreen""></iframe></div>  <p>Die detaillierten Abmessungen sind auf dem Foto angegeben.</p>  <p>Material der Schüssel: Keramik<br>Farbe der Schale: Weißtöne<br>Polsterfarbe: Schwarztöne<br>Grundfarbe: Schwarztöne<br>Farbe des Mixers: Chrom- und Schwarztöne<br>Polstermaterial: Kunstleder</p>";"Friseur und saloneinrichtung>Friseurmöbel >Friseurstühle und Friseur-Waschbecken>Ankara";"56.0000";"12";"479.67";"23%";"GABBIANO";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/109237_01_0309.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109237_02_0309.jpg"
"109403";"5906717405921";"Gabbiano infrarothaube trockenhaube mit stativ gl-505s grau";"<p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109403/DE_109403_1.jpg""></p>  <p><strong>Gabbiano </strong>ist eine Luxusmarke für Friseurausrüstung und -möbel, die sich durch Zuverlässigkeit, Qualität und Ästhetik der Verarbeitung sowie hohen Bedienkomfort auszeichnet. Es bietet eine große Auswahl an funktionalen Wohnzimmerausstattungen wie Sesseln, Autowaschanlagen und Infrazonen.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109403/DE_109403_2.jpg""></p>  <h2><strong>Ein Gerät, das professionelles Arbeiten gewährleistet</strong></h2>  <p>Der professionelle<strong> Infrazone Gabbiano GL-505S</strong> ist ein unverzichtbares Gerät bei Dienstleistungen, bei denen hohe Temperaturen nützlich sind, wie z. B. Färben, Bleichen, Pflegebehandlungen oder Trocknen sowie dauerhaftes Styling. Das Gerät <strong>verkürzt die Dauer der Behandlung erheblich </strong>und ermöglicht es Ihnen, eine größere Anzahl von Kunden aufzunehmen und <strong>gleichzeitig die hohe Qualität der im Salon erbrachten Dienstleistungen beizubehalten</strong>.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109403/DE_109403_3.jpg""></p>  <h2><strong>Bedienfeld für die breite Einstellung</strong></h2>  <p><strong>Die elektronische Parametereinstellung</strong> erleichtert die Arbeit des Friseurs erheblich. Das Gerät ist mit <strong>einem Bedienfeld mit Digitalanzeige</strong> ausgestattet. Mit seiner Verwendung können Sie die Leistung jedes der fünf Lüftungsschlitze in vier Stufen effizient einstellen und damit die Temperatur (im Bereich von 70-90 °C) oder die Dauer der Behandlung (zwischen 1 und 59 Minuten). Darüber hinaus verfügt das Gerät <strong>über eine Ozonfunktion</strong>. Das Gerät verbessert <strong>spürbar die Leistung verschiedener Behandlungen</strong>.&nbsp;</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109403/DE_109403_4.jpg""></p>  <h2><strong>Einfaches, funktionales Design</strong></h2>  <p><strong>Das futuristische Gehäuse</strong> aus strapazierfähigem Kunststoff in Grautönen verleiht dem Gerät ein <strong>modernes und einzigartiges Aussehen</strong>, so dass es in die meisten Innenräume passt. Außerdem ist es langlebig und leicht zu reinigen. Für Stabilität sorgt <strong>ein Vier-Stern-Fußkreuz</strong>, das mit Rädern ausgestattet ist, um die Mobilität zu gewährleisten. <strong>Verstellbar im Bereich von 142-162 cm </strong>garantiert das Stativ ein komfortables Arbeiten und <strong>die Anpassung des Gerätes an die individuellen Bedürfnisse</strong>.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109403/DE_109403_5.jpg""></p>  <p>Die Abmessungen des Gerätes sind auf dem Foto dargestellt.</p>  <p><strong>Daten:</strong><br>Farbe: Grautöne<br>Temperaturregelung: 70-90°C<br>Anzahl der Heizköpfe: 5<br>Luftversorgung mit fünf Lüftern<br>Leistung: 1350W<br>Eingangsspannung: 220-240V</p>";"Friseur und saloneinrichtung>Friseurgeräte >Sauna- und Infrarothauben GABBIANO ";"15.0000";"29";"569.10";"23%";"GABBIANO";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/109403_7.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109403_1_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109403_2_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109403_3_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109403_4_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109403_5_2.jpg"
"109519";"5906717406072";"Gabbiano infrarothaube trockenhaube mit stativ gl-505s silber";"<p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109519/DE_109519_1.jpg""></p>  <p><strong>Gabbiano </strong>ist eine Luxusmarke für Friseurausrüstung und -möbel, die sich durch Zuverlässigkeit, Qualität und Ästhetik der Verarbeitung sowie hohen Bedienkomfort auszeichnet. Es bietet eine große Auswahl an funktionalen Wohnzimmerausstattungen wie Sesseln, Autowaschanlagen und Infrazonen.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109519/DE_109519_2.jpg""></p>  <h2><strong>Ein Gerät, das professionelles Arbeiten gewährleistet</strong></h2>  <p>Der professionelle<strong> Infrazone Gabbiano GL-505S</strong> ist ein unverzichtbares Gerät bei Dienstleistungen, bei denen hohe Temperaturen nützlich sind, wie z. B. Färben, Bleichen, Pflegebehandlungen oder Trocknen sowie dauerhaftes Styling. Das Gerät <strong>verkürzt die Dauer der Behandlung erheblich </strong>und ermöglicht es Ihnen, eine größere Anzahl von Kunden aufzunehmen und <strong>gleichzeitig die hohe Qualität der im Salon erbrachten Dienstleistungen beizubehalten</strong>.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109519/DE_109519_3.jpg""></p>  <h2><strong>Bedienfeld für die breite Einstellung</strong></h2>  <p><strong>Die elektronische Parametereinstellung</strong> erleichtert die Arbeit des Friseurs erheblich. Das Gerät ist mit <strong>einem Bedienfeld mit Digitalanzeige</strong> ausgestattet. Mit seiner Verwendung können Sie die Leistung jedes der fünf Lüftungsschlitze in vier Stufen effizient einstellen und damit die Temperatur (im Bereich von 70-90 °C) oder die Dauer der Behandlung (zwischen 1 und 59 Minuten). Darüber hinaus verfügt das Gerät <strong>über eine Ozonfunktion</strong>. Das Gerät verbessert <strong>spürbar die Leistung verschiedener Behandlungen</strong>.&nbsp;</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109519/DE_109519_4.jpg""></p>  <h2><strong>Einfaches, funktionales Design</strong></h2>  <p><strong>Das futuristische Gehäuse</strong> aus strapazierfähigem Kunststoff in Silbertönen verleiht dem Gerät ein <strong>modernes und einzigartiges Aussehen</strong>, so dass es in die meisten Innenräume passt. Außerdem ist es langlebig und leicht zu reinigen. Für Stabilität sorgt <strong>ein Vier-Stern-Fußkreuz</strong>, das mit Rädern ausgestattet ist, um die Mobilität zu gewährleisten. <strong>Verstellbar im Bereich von 142-162 cm </strong>garantiert das Stativ ein komfortables Arbeiten und <strong>die Anpassung des Gerätes an die individuellen Bedürfnisse</strong>.</p>  <p><img src=""https://activeshop.com.pl/media/wysiwyg/product/109519/DE_109519_5.jpg""></p>  <p>Die Abmessungen des Gerätes sind auf dem Foto dargestellt.</p>  <p><strong>Daten:</strong><br>Farbe: Silbertöne<br>Temperaturregelung: 70-90°C<br>Anzahl der Heizköpfe: 5<br>Luftversorgung mit fünf Lüftern<br>Leistung: 1350W<br>Eingangsspannung: 220-240V</p>";"Friseur und saloneinrichtung>Friseurgeräte >Sauna- und Infrarothauben GABBIANO ";"15.0000";"22";"579.27";"23%";"GABBIANO";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/109519_1_2109.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109519_2_2109.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109519_3_2109.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109519_4_2109.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109519_5_2109.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109519_2109.jpg"
"109615";"7610558560982";"Valera haartrockner swiss light 5400 fold-away ionic ";"- Leistungsstarker und langlebiger DC-Motor - Liestung: 2000W - Ionen-Generator - Kaltlufttaste - 6 Geschwindigkeits- und Temperaturstufen - Abnehmbare Motorabdeckung aus Metall - sehr leicht: nur 390 g, - klappbarer Griff, schmale Düse, - 3 m Drehkabel mit Griff - Hergestellt in der Schweiz";"Friseur und saloneinrichtung>Haartrockner";"0.8600";"6";"75.17";"23%";"VALERA";"https://b2b.activeshop.com.pl/media/catalog/product/1/0/109615_01__0206.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/0/109615_02__0206.jpg"
"111351";"5906717406317";"Kosmetikhocker 1025 schwarz giovanni ";"Ein bequemer, exklusiver, stabiler, schwarzer Kosmetikhocker (Modell: 1025) mit einer Rückenlehne und einem gut geformten Sitz verfügt über ein 5-armiges sehr stabiles Gestell. - vollständige Einstellung von Neigungswinkel des Sitzes - vollständige Einstellung von Rückenlehnenhöhe - verfügbare Farben: Schwarz - Abmessungen: - Sitz: 48 x 39,5 cm  - Minimale Höhe: 55 cm - Maximale Höhe: 73 cm Technische Daten: - hydraulisch verstellbar -  5-armiges Gestell mit Rädern - Verpackungsabmessungen: 49,5 x 49,5 x 22 cm - Gewicht mit Verpackung: 7 kg - Verpackungsmenge: 1 ";"Kosmetische Möbel>Kosmetikhocker";"12.0000";"281";"107.72";"23%";"GIOVANNI";"https://b2b.activeshop.com.pl/media/catalog/product/1/1/111351_01_0503.png,https://b2b.activeshop.com.pl/media/catalog/product/1/1/111351_02_0503.png,https://b2b.activeshop.com.pl/media/catalog/product/1/1/111351_03_0503.png,https://b2b.activeshop.com.pl/media/catalog/product/1/1/111351_04_0503.png,https://b2b.activeshop.com.pl/media/catalog/product/1/1/111351_05_0503.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/111351_06_0503.png"
"114485";"5906717408748";"GABBIANO WASCHSCHÜSSEL WEISS ";"<p>Die Waschschüssel für Friseursalons ist ein unverzichtbares Element in jedem professionellen Friseursalon. Hergestellt aus hochwertigen Materialien, gewährleistet sie Langlebigkeit und einfache Reinigung. Ihre ergonomische Form und angemessenen Abmessungen machen sie ideal für den täglichen Gebrauch bei der Arbeit mit Kunden.</p>    <p>Farbe: Weiß</p>";"Friseur und saloneinrichtung>Haarstyling-Accessoires";"16.0000";"15";"132.12";"23%";"GABBIANO";"https://b2b.activeshop.com.pl/media/catalog/product/1/1/114485_5.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/114485_1_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/114485_2_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/114485_4_1.jpg"
"115247";"5906717409370";"Lupenleuchte led s5 + stativ";"Eine LED-Lupenlampe (5 Dioptrien) mit einem 5-armigen Stativ. Die Lupenlampe ermöglicht, die Haut in einer Vergrößerung bei einer gleichzeitig guten Beleuchtung zu sehen. Die Lampe wird auch bei der Durchführung von Maniküre und Pediküre, bei der Ausführung von permanentem Make-up, sowie bei der Depilation verwendet. Die Lampe sorgt für eine hohe Sichtbarkeit. Sie verfügt über das reflektierende Glas und LEDs, die weißes Licht leuchtet, ohne bei längerer Arbeit Augenschmerzen zu verursachen. Die Lampe ist ideal für Schönheitssalons, Zahnarztzimmer und Tierkliniken geeignet. Sie kann auch in anderen Branchen verwendet werden. Das Set beinhaltet: - Lupenlampe - Stativ  - Garantie Technische Daten: - 5 Dioptrien - Leistung: 24 W - Spannung: 220-240 V / 50 Hz";"Kosmetische Geräte >Kosmetische Lampen >Lupenleuchten ";"6.0000";"153";"60.97";"23%";"ACTIVESHOP";"https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_8.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_1_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_2_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_3_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_4_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_6_2.jpg,https://b2b.activeshop.com.pl/media/catalog/product/1/1/115247_7_2.jpg"
